latitude,longitude
22.627300,120.301400
22.627760,120.301424
22.628220,120.301448
22.628680,120.301472
22.629140,120.301496
22.629600,120.301520
22.630060,120.301544
22.630520,120.301568
22.630980,120.301592
22.631440,120.301616
22.631900,120.301640
22.632360,120.301664
22.632820,120.301688
22.633280,120.301712
22.633740,120.301736
22.634200,120.301760
22.634660,120.301784
22.635120,120.301808
22.635580,120.301832
22.636040,120.301856
22.636500,120.301880
22.636960,120.301904
22.637420,120.301928
22.637880,120.301952
22.638340,120.301976
22.638800,120.302000
22.638767,120.302511
22.638733,120.303022
22.638700,120.303533
22.638667,120.304044
22.638633,120.304556
22.638600,120.305067
22.638567,120.305578
22.638533,120.306089
22.638500,120.306600
22.638467,120.307111
22.638433,120.307622
22.638400,120.308133
22.638367,120.308644
22.638333,120.309156
22.638300,120.309667
22.638267,120.310178
22.638233,120.310689
22.638200,120.311200
22.637741,120.311230
22.637281,120.311259
22.636822,120.311289
22.636363,120.311319
22.635904,120.311348
22.635444,120.311378
22.634985,120.311407
22.634526,120.311437
22.634067,120.311467
22.633607,120.311496
22.633148,120.311526
22.632689,120.311556
22.632230,120.311585
22.631770,120.311615
22.631311,120.311644
22.630852,120.311674
22.630393,120.311704
22.629933,120.311733
22.629474,120.311763
22.629015,120.311793
22.628556,120.311822
22.628096,120.311852
22.627637,120.311881
22.627178,120.311911
22.626719,120.311941
22.626259,120.311970
22.625800,120.312000
22.625871,120.311495
22.625943,120.310990
22.626014,120.310486
22.626086,120.309981
22.626157,120.309476
22.626229,120.308971
22.626300,120.308467
22.626371,120.307962
22.626443,120.307457
22.626514,120.306952
22.626586,120.306448
22.626657,120.305943
22.626729,120.305438
22.626800,120.304933
22.626871,120.304429
22.626943,120.303924
22.627014,120.303419
22.627086,120.302914
22.627157,120.302410
22.627229,120.301905
